iter	Passed	Remaining
709	3559	1453
710	3562	1447
711	3569	1443
712	3572	1438
713	3578	1433
714	3582	1428
715	3585	1422
716	3589	1416
717	3592	1410
718	3596	1405
719	3600	1400
720	3602	1394
721	3609	1389
722	3613	1384
723	3617	1378
724	3621	1373
725	3623	1367
726	3630	1363
727	3635	1358
728	3639	1352
729	3643	1347
730	3647	1342
731	3653	1337
732	3656	1331
733	3660	1326
734	3663	1320
735	3670	1316
736	3674	1311
737	3680	1306
738	3685	1301
739	3690	1296
740	3695	1291
741	3698	1286
742	3703	1281
743	3706	1275
744	3711	1270
745	3714	1264
746	3720	1260
747	3724	1254
748	3729	1249
749	3733	1244
750	3736	1238
751	3740	1233
752	3743	1227
753	3750	1223
754	3754	1218
755	3761	1213
756	3765	1208
757	3770	1203
758	3774	1198
759	3778	1193
760	3782	1188
761	3785	1182
762	3790	1177
763	3794	1172
764	3799	1167
765	3801	1161
766	3806	1156
767	3815	1152
768	3821	1147
769	3825	1142
770	3846	1142
771	3850	1137
772	3855	1132
773	3857	1126
774	3862	1121
775	3864	1115
776	3871	1111
777	3875	1105
778	3881	1101
779	3887	1096
780	3892	1091
781	3897	1086
782	3901	1081
783	3905	1076
784	3908	1070
785	3913	1065
786	3915	1059
787	3922	1055
788	3927	1050
789	3930	1044
790	3934	1039
791	3938	1034
792	3942	1029
793	3945	1023
794	3952	1019
795	3957	1014
796	3965	1009
797	3969	1004
798	3974	999
799	3979	994
800	3982	989
801	3987	984
802	3990	979
803	3995	973
804	3998	968
805	4005	964
806	4010	959
807	4014	953
808	4019	948
809	4023	943
810	4028	938
811	4032	933
812	4037	928
813	4040	923
814	4045	918
815	4047	912
816	4054	908
817	4058	903
818	4063	898
819	4068	892
820	4070	887
821	4075	882
822	4078	877
823	4085	872
824	4089	867
825	4096	862
826	4100	857
827	4103	852
828	4108	847
829	4111	842
830	4116	837
831	4118	831
832	4124	826
833	4129	821
834	4133	816
835	4138	811
836	4142	806
837	4147	801
838	4149	796
839	4154	791
840	4156	785
841	4162	781
842	4166	775
843	4169	770
844	4174	765
845	4177	760
846	4181	755
847	4185	750
848	4190	745
849	4194	740
850	4198	735
851	4202	730
852	4205	724
853	4212	720
854	4216	715
855	4221	710
856	4226	705
857	4228	699
858	4232	694
859	4235	689
860	4242	684
861	4247	680
862	4252	675
863	4257	670
864	4261	665
865	4265	660
866	4268	654
867	4275	650
868	4279	645
869	4285	640
870	4290	635
871	4297	630
872	4301	625
873	4305	620
874	4310	615
875	4312	610
876	4319	605
877	4323	600
878	4330	596
879	4334	591
880	4342	586
881	4347	581
882	4352	576
883	4356	571
884	4359	566
885	4363	561
886	4366	556
887	4374	551
888	4379	546
889	4384	541
890	4386	536
891	4394	532
892	4398	527
893	4406	522
894	4409	517
895	4415	512
896	4419	507
897	4422	502
898	4430	497
899	4437	493
900	4441	488
901	4449	483
902	4453	478
903	4456	473
904	4460	468
905	4464	463
906	4467	458
907	4470	452
908	4476	448
909	4480	443
910	4485	438
911	4489	433
912	4492	428
913	4499	423
914	4503	418
915	4510	413
916	4514	408
917	4516	403
918	4520	398
919	4523	393
920	4528	388
921	4532	383
922	4535	378
923	4539	373
924	4541	368
925	4549	363
926	4553	358
927	4562	353
928	4565	348
929	4571	344
930	4574	339
931	4578	334
932	4582	329
933	4585	324
934	4589	319
935	4592	313
936	4597	309
937	4600	304
938	4603	299
939	4607	294
940	4610	289
941	4616	284
942	4620	279
943	4623	274
944	4626	269
945	4629	264
946	4635	259
947	4639	254
948	4642	249
949	4646	244
950	4648	239
951	4654	234
952	4658	229
953	4661	224
954	4665	219
955	4669	214
956	4676	210
957	4680	205
958	4684	200
959	4688	195
960	4692	190
961	4696	185
962	4699	180
963	4703	175
964	4705	170
965	4712	165
966	4715	160
967	4719	156
